outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Off T,Head,Normal,Open Play,"[113.0, 50.0]",Alberto Junior Rodríguez Valdelomar,0.030852,Peru
Saved,Left Foot,Normal,Open Play,"[109.0, 59.0]",Luis Jan Piers Advíncula Castrillón,0.0189804,Peru
Off T,Right Foot,Backheel,Open Play,"[112.0, 40.0]",José Paolo Guerrero González,0.152645,Peru
Blocked,Left Foot,Normal,Open Play,"[104.0, 49.0]",Nicolai Jørgensen,0.098548,Denmark
Saved,Right Foot,Normal,Open Play,"[108.0, 43.0]",Jefferson Agustín Farfán Guadalupe,0.197111,Peru
Saved,Left Foot,Normal,Open Play,"[105.0, 32.0]",Christian Dannemann Eriksen,0.306456,Denmark
Wayward,Head,Normal,Open Play,"[112.0, 41.0]",José Paolo Guerrero González,0.0509575,Peru
Off T,Right Foot,Half Volley,Open Play,"[109.0, 44.0]",Blerim Džemaili,0.162963,Switzerland
Off T,Left Foot,Normal,Open Play,"[115.0, 36.0]",José Paulo Bezzera Maciel Júnior,0.460057,Brazil
Blocked,Right Foot,Normal,Free Kick,"[91.0, 35.0]",Neymar da Silva Santos Junior,0.0582386,Brazil
Goal,Right Foot,Normal,Open Play,"[99.0, 21.0]",Philippe Coutinho Correia,0.0214187,Brazil
Wayward,Head,Normal,Open Play,"[115.0, 57.0]",Stephan Lichtsteiner,0.015071,Switzerland
Wayward,Head,Normal,Open Play,"[116.0, 44.0]",Gabriel Fernando de Jesus,0.21302,Brazil
Blocked,Right Foot,Normal,Open Play,"[105.0, 26.0]",Steven Zuber,0.0452772,Switzerland
Off T,Head,Normal,Open Play,"[116.0, 32.0]",Thiago Emiliano da Silva,0.0400701,Brazil
Off T,Right Foot,Normal,Open Play,"[88.0, 23.0]",Blerim Džemaili,0.0117394,Switzerland
Goal,Head,Normal,Open Play,"[116.0, 41.0]",Steven Zuber,0.130221,Switzerland
Blocked,Right Foot,Normal,Open Play,"[97.0, 33.0]",Philippe Coutinho Correia,0.0402209,Brazil
Blocked,Right Foot,Normal,Open Play,"[104.0, 36.0]",Philippe Coutinho Correia,0.0304242,Brazil
Blocked,Right Foot,Normal,Open Play,"[116.0, 30.0]",Neymar da Silva Santos Junior,0.0656639,Brazil
Wayward,Head,Normal,Open Play,"[110.0, 43.0]",Thiago Emiliano da Silva,0.0487825,Brazil
Off T,Right Foot,Normal,Open Play,"[89.0, 36.0]",Carlos Henrique Casimiro,0.0176132,Brazil
Blocked,Right Foot,Half Volley,Open Play,"[94.0, 41.0]",Fernando Luiz Rosa,0.0234112,Brazil
Blocked,Right Foot,Normal,Open Play,"[101.0, 51.0]",Willian Borges da Silva,0.0214072,Brazil
Off T,Left Foot,Normal,Open Play,"[100.0, 57.0]",Willian Borges da Silva,0.0186365,Brazil
Off T,Right Foot,Half Volley,Open Play,"[108.0, 32.0]",Philippe Coutinho Correia,0.086906,Brazil
Saved,Left Foot,Normal,Open Play,"[100.0, 42.0]",Blerim Džemaili,0.0350942,Switzerland
Off T,Right Foot,Normal,Open Play,"[92.0, 52.0]",Fernando Luiz Rosa,0.0188269,Brazil
Saved,Right Foot,Normal,Open Play,"[96.0, 21.0]",Neymar da Silva Santos Junior,0.0200343,Brazil
Off T,Right Foot,Half Volley,Open Play,"[114.0, 54.0]",Roberto Firmino Barbosa de Oliveira,0.0594858,Brazil
Saved,Head,Normal,Open Play,"[109.0, 38.0]",Neymar da Silva Santos Junior,0.0401076,Brazil
Off T,Left Foot,Half Volley,Open Play,"[99.0, 51.0]",Xherdan Shaqiri,0.02938,Switzerland
Saved,Head,Normal,Open Play,"[112.0, 40.0]",Roberto Firmino Barbosa de Oliveira,0.100352,Brazil
Off T,Right Foot,Half Volley,Open Play,"[105.0, 40.0]",João Miranda de Souza Filho,0.0509875,Brazil
Blocked,Left Foot,Volley,Open Play,"[115.0, 32.0]",Renato Soares de Oliveira Augusto,0.131672,Brazil
Blocked,Right Foot,Normal,Open Play,"[111.0, 29.0]",Hirving Rodrigo Lozano Bahena,0.104377,Mexico
Off T,Right Foot,Normal,Open Play,"[114.0, 54.0]",Timo Werner,0.0911271,Germany
Saved,Left Foot,Half Volley,Open Play,"[103.0, 41.0]",Mats Hummels,0.0583853,Germany
Off T,Right Foot,Normal,Free Kick,"[95.0, 38.0]",Miguel Arturo Layún Prado,0.046177,Mexico
Saved,Right Foot,Normal,Open Play,"[91.0, 40.0]",Héctor Miguel Herrera López,0.018715,Mexico
Saved,Head,Normal,Open Play,"[110.0, 39.0]",Héctor Alfredo Moreno Herrera,0.0404561,Mexico
Saved,Right Foot,Half Volley,Open Play,"[94.0, 28.0]",Julian Draxler,0.0191278,Germany
Blocked,Right Foot,Normal,Open Play,"[87.0, 23.0]",Toni Kroos,0.0142645,Germany
Saved,Left Foot,Normal,Open Play,"[105.0, 46.0]",Timo Werner,0.1027,Germany
Saved,Left Foot,Normal,Open Play,"[97.0, 27.0]",Toni Kroos,0.0246014,Germany
Blocked,Left Foot,Normal,Open Play,"[100.0, 31.0]",Javier Hernández Balcázar,0.050577,Mexico
Off T,Right Foot,Normal,Open Play,"[95.0, 39.0]",Miguel Arturo Layún Prado,0.033251,Mexico
Saved,Right Foot,Normal,Open Play,"[97.0, 34.0]",Miguel Arturo Layún Prado,0.0431409,Mexico
Goal,Right Foot,Normal,Open Play,"[109.0, 32.0]",Hirving Rodrigo Lozano Bahena,0.0974993,Mexico
Blocked,Right Foot,Volley,Open Play,"[107.0, 50.0]",Sami Khedira,0.0677748,Germany
Saved,Right Foot,Normal,Free Kick,"[95.0, 49.0]",Toni Kroos,0.07443,Germany
Off T,Left Foot,Normal,Open Play,"[102.0, 32.0]",Carlos Alberto Vela Garrido,0.0667712,Mexico
Saved,Left Foot,Normal,Open Play,"[95.0, 30.0]",Marvin Plattenhardt,0.0239926,Germany
Off T,Left Foot,Normal,Open Play,"[93.0, 40.0]",Joshua Kimmich,0.0241034,Germany
Blocked,Right Foot,Normal,Open Play,"[105.0, 25.0]",Julian Draxler,0.0345633,Germany
Blocked,Right Foot,Normal,Open Play,"[102.0, 36.0]",Toni Kroos,0.0464089,Germany
Off T,Left Foot,Normal,Open Play,"[102.0, 29.0]",José Andrés Guardado Hernández,0.0835997,Mexico
Blocked,Right Foot,Normal,Open Play,"[99.0, 31.0]",Julian Draxler,0.039051,Germany
Off T,Right Foot,Overhead Kick,Open Play,"[109.0, 41.0]",Joshua Kimmich,0.133866,Germany
Off T,Right Foot,Normal,Open Play,"[104.0, 31.0]",Julian Draxler,0.0369247,Germany
Off T,Right Foot,Volley,Open Play,"[114.0, 34.0]",Timo Werner,0.33425,Germany
Off T,Right Foot,Volley,Open Play,"[114.0, 58.0]",Marco Reus,0.028095,Germany
Off T,Right Foot,Normal,Open Play,"[100.0, 49.0]",Toni Kroos,0.0466765,Germany
Blocked,Left Foot,Normal,Open Play,"[106.0, 40.0]",Julian Draxler,0.068492,Germany
Off T,Right Foot,Normal,Open Play,"[97.0, 48.0]",Miguel Arturo Layún Prado,0.054085,Mexico
Blocked,Left Foot,Half Volley,Open Play,"[99.0, 52.0]",Mesut Özil,0.0332583,Germany
Off T,Right Foot,Normal,Open Play,"[101.0, 54.0]",Miguel Arturo Layún Prado,0.041968,Mexico
Saved,Left Foot,Normal,Open Play,"[99.0, 33.0]",Toni Kroos,0.0448231,Germany
Blocked,Head,Normal,Open Play,"[113.0, 35.0]",Mario Gómez García,0.0578835,Germany
Off T,Head,Normal,Open Play,"[113.0, 40.0]",Mario Gómez García,0.097131,Germany
Saved,Right Foot,Normal,Open Play,"[117.0, 39.0]",Mario Gómez García,0.562736,Germany
Off T,Right Foot,Half Volley,Open Play,"[96.0, 31.0]",Julian Brandt,0.0248192,Germany
Saved,Left Foot,Normal,Open Play,"[95.0, 59.0]",Jérôme Boateng,0.0221805,Germany
Blocked,Head,Normal,Open Play,"[112.0, 42.0]",Aleksandar Mitrović,0.0549748,Serbia
Saved,Right Foot,Normal,Open Play,"[119.0, 52.0]",Marcos Danilo Ureña Porras,0.0468015,Costa Rica
Saved,Head,Normal,Open Play,"[112.0, 45.0]",Giancarlo González Castro,0.081289,Costa Rica
Off T,Left Foot,Normal,Open Play,"[93.0, 20.0]",Aleksandar Kolarov,0.0168089,Serbia
Off T,Head,Normal,Open Play,"[116.0, 48.0]",Giancarlo González Castro,0.114613,Costa Rica
Blocked,Right Foot,Normal,Open Play,"[104.0, 53.0]",Aleksandar Mitrović,0.0630838,Serbia
Wayward,Head,Normal,Open Play,"[116.0, 32.0]",Aleksandar Mitrović,0.0687024,Serbia
Off T,Left Foot,Normal,Open Play,"[96.0, 42.0]",Marcos Danilo Ureña Porras,0.0424269,Costa Rica
Off T,Right Foot,Normal,Open Play,"[101.0, 29.0]",Francisco Javier Calvo Quesada,0.038811,Costa Rica
Saved,Right Foot,Normal,Open Play,"[109.0, 39.0]",Aleksandar Mitrović,0.157051,Serbia
Off T,Head,Normal,Open Play,"[114.0, 41.0]",Aleksandar Mitrović,0.109781,Serbia
Goal,Left Foot,Normal,Free Kick,"[94.0, 59.0]",Aleksandar Kolarov,0.0249413,Serbia
Off T,Head,Normal,Open Play,"[109.0, 45.0]",Sergej Milinković-Savić,0.0486795,Serbia
Off T,Right Foot,Normal,Open Play,"[94.0, 37.0]",Sergej Milinković-Savić,0.0334501,Serbia
Wayward,Right Foot,Normal,Open Play,"[118.0, 42.0]",Filip Kostić,0.725548,Serbia
Blocked,Left Foot,Normal,Open Play,"[100.0, 36.0]",Nemanja Matić,0.0477811,Serbia
Blocked,Left Foot,Normal,Open Play,"[102.0, 57.0]",Joel Nathaniel Campbell Samuels,0.0227177,Costa Rica
Blocked,Right Foot,Normal,Open Play,"[100.0, 43.0]",Celso Borges Mora,0.0578412,Costa Rica
Off T,Left Foot,Normal,Open Play,"[101.0, 30.0]",Filip Kostić,0.0469882,Serbia
Saved,Right Foot,Normal,Open Play,"[79.0, 33.0]",Cristian Gamboa Luna,0.0118409,Costa Rica
Blocked,Head,Normal,Open Play,"[112.0, 31.0]",Óscar Esau Duarte Gaitán,0.0288275,Costa Rica
Blocked,Left Foot,Half Volley,Open Play,"[106.0, 42.0]",Bryan Ruiz González,0.0354882,Costa Rica
Off T,Left Foot,Normal,Open Play,"[113.0, 34.0]",Romelu Lukaku Menama,0.202327,Belgium
Wayward,Left Foot,Half Volley,Open Play,"[96.0, 51.0]",Edgar Yoel Bárcenas Herrera,0.0197217,Panama
Saved,Right Foot,Normal,Open Play,"[104.0, 24.0]",Yannick Ferreira Carrasco,0.0257887,Belgium
Saved,Right Foot,Normal,Open Play,"[104.0, 54.0]",Dries Mertens,0.040596,Belgium
Off T,Left Foot,Normal,Open Play,"[118.0, 30.0]",Eden Hazard,0.0447952,Belgium
Off T,Right Foot,Normal,Open Play,"[110.0, 57.0]",Dries Mertens,0.0343627,Belgium
Off T,Right Foot,Normal,Open Play,"[98.0, 22.0]",Kevin De Bruyne,0.0193146,Belgium
Off T,Right Foot,Normal,Open Play,"[103.0, 56.0]",Eden Hazard,0.0184285,Belgium
Saved,Right Foot,Normal,Open Play,"[109.0, 54.0]",Eden Hazard,0.032203,Belgium
Wayward,Right Foot,Half Volley,Open Play,"[104.0, 37.0]",Román Aureliano Torres Morcillo,0.0329896,Panama
Off T,Right Foot,Volley,Open Play,"[103.0, 50.0]",Dries Mertens,0.0395879,Belgium
Off T,Right Foot,Normal,Open Play,"[92.0, 53.0]",Armando Enrique Cooper Whitaker,0.0239828,Panama
Goal,Right Foot,Volley,Open Play,"[105.0, 59.0]",Dries Mertens,0.0147703,Belgium
Off T,Right Foot,Normal,Free Kick,"[97.0, 26.0]",Kevin De Bruyne,0.0396283,Belgium
